iter	Passed	Remaining
1431	267184	665721
1432	267363	665517
1433	267535	665293
1434	267714	665089
1435	267889	664873
1436	268069	664669
1437	268240	664444
1438	268427	664260
1439	268599	664037
1440	268779	663835
1441	268951	663612
1442	269130	663408
1443	269305	663192
1444	269483	662985
1445	269669	662797
1446	269851	662599
1447	270024	662379
1448	270204	662179
1449	270382	661971
1450	270562	661767
1451	270736	661552
1452	270916	661350
1453	271089	661130
1454	271272	660935
1455	271447	660720
1456	271624	660511
1457	271800	660298
1458	271979	660096
1459	272150	659871
1460	272330	659670
1461	272504	659452
1462	272691	659268
1463	272867	659058
1464	273047	658855
1465	273221	658639
1466	273405	658445
1467	273580	658232
1468	273761	658033
1469	273936	657820
1470	274115	657615
1471	274298	657421
1472	274476	657214
1473	274651	657001
1474	274831	656799
1475	275004	656583
1476	275183	656378
1477	275361	656171
1478	275537	655960
1479	275726	655780
1480	275905	655578
1481	276078	655359
1482	276261	655165
1483	276434	654948
1484	276614	654746
1485	276787	654529
1486	276969	654333
1487	277144	654120
1488	277329	653931
1489	277505	653720
1490	277683	653514
1491	277856	653297
1492	278035	653095
1493	278208	652876
1494	278389	652679
1495	278566	652471
1496	278749	652276
1497	278924	652066
1498	279104	651865
1499	279281	651657
1500	279460	651453
1501	279635	651241
1502	279814	651038
1503	279990	650829
1504	280169	650626
1505	280352	650433
1506	280531	650230
1507	280705	650015
1508	280891	649829
1509	281065	649615
1510	281248	649420
1511	281422	649208
1512	281617	649042
1513	281793	648831
1514	281973	648632
1515	282145	648414
1516	282328	648219
1517	282501	648004
1518	282682	647805
1519	282853	647585
1520	283034	647388
1521	283215	647190
1522	283401	647003
1523	283573	646785
1524	283752	646583
1525	283927	646371
1526	284107	646172
1527	284283	645963
1528	284460	645757
1529	284642	645562
1530	284821	645358
1531	284998	645153
1532	285177	644950
1533	285359	644755
1534	285538	644555
1535	285711	644339
1536	285888	644133
1537	286061	643916
1538	286240	643715
1539	286414	643502
1540	286591	643297
1541	286766	643086
1542	286943	642880
1543	287119	642672
1544	287300	642475
1545	287476	642265
1546	287663	642083
1547	287838	641872
1548	288018	641673
1549	288194	641465
1550	288377	641273
1551	288551	641059
1552	288730	640859
1553	288907	640654
1554	289085	640450
1555	289266	640253
1556	289445	640050
1557	289620	639841
1558	289799	639641
1559	289976	639434
1560	290157	639237
1561	290333	639031
1562	290513	638831
1563	290698	638643
1564	290888	638466
1565	291063	638257
1566	291243	638058
1567	291415	637844
1568	291595	637644
1569	291768	637430
1570	291946	637226
1571	292123	637022
1572	292305	636827
1573	292476	636610
1574	292655	636409
1575	292829	636197
1576	293011	636003
1577	293186	635793
1578	293368	635601
1579	293545	635395
1580	293726	635199
